ID,Toxins,Sex,CTL,CRISP,Ftx,SVMP
JLS178,49,Female,13,2,5,17
JLS187,48,Female,7,3,5,21
JLS202,51,Female,14,2,3,19
JLS216,47,Female,16,1,3,20
JLS248,39,Female,9,2,3,19
JLS253,35,Female,15,2,3,16
JLS255,36,Female,9,1,3,17
JLS257,41,Female,6,3,4,21
JLS260,29,Female,14,2,4,18
JLS269,43,Female,9,3,4,21
JLS181,48,Male,5,2,5,19
JLS223,47,Male,15,3,2,18
JLS224,38,Male,2,2,3,19
JLS228,41,Male,11,2,5,16
JLS242,49,Male,4,2,5,18
JLS247,46,Male,14,3,4,17
JLS249,51,Male,7,3,4,18
JLS254,41,Male,1,2,4,17
JLS256,48,Male,9,2,4,18
