gene_id,class,toxin_family,JLS178,JLS181,JLS187,JLS202,JLS216,JLS223,JLS224,JLS228,JLS242,JLS247,JLS248,JLS249,JLS253,JLS254,JLS255,JLS256,JLS257,JLS260,JLS269,Average,Female_Average,Male_Average
extenderContig104||sp|Q90835.1|,Nontoxin,Nontoxin,9056.12,8064.8,10156.51,9480.7,9888.58,5220.15,14052.44,8861.87,9396.07,10222.8,8407.05,8710.32,7019.15,4222.59,7718.25,8183.35,9716.48,5658.99,7873.37,8521.557368,8497.52,8548.26556
extenderContig107||sp|O57535.1|,Nontoxin,Nontoxin,2112.22,1825.7,2746.35,1482.01,2560.02,2252.38,2403.97,2771.62,2779.08,2523.37,2335.92,2462.02,2487.38,2422.2,3173.4,2762.5,2488.09,2500.38,2148.36,2433.524737,2403.413,2466.98222
extenderContig109||sp|P42677.3|,Nontoxin,Nontoxin,4445.89,4204.39,3868.55,4832.46,4179.15,4036.72,4764.65,3730.38,4063.62,4683.8,4128.91,3669.04,5900.31,4490.93,6228.76,3808.3,5194.04,4408.19,4428.72,4477.200526,4761.498,4161.31444
extenderContig118||sp|P62263.3|,Nontoxin,Nontoxin,3478.77,4538.07,3400.11,4724.09,3974.36,4386.81,6669.4,3909.1,4112.18,3971.93,4411.26,3132.12,4322.82,6321.67,6925.53,4725.28,3472.6,5423.85,3994.93,4520.783158,4412.832,4640.72889
extenderContig123||sp|P49207.3|,Nontoxin,Nontoxin,2697.8,2517.25,3703.39,2905.85,2387.03,4433.53,8228.64,4784.41,4105.44,4364.68,4680.56,3915.66,5341.51,5602.23,8124.73,6496.34,3972.26,7914.32,2649.16,4674.988947,4437.661,4938.68667
extenderContig131||sp|A6QLG5.1|,Nontoxin,Nontoxin,4132.29,5690.32,3842.96,4445.23,4089.74,6140.23,8441.13,5905.22,5911.42,5824.96,4219.2,5351.9,5113.96,7756.67,6595.35,6681.15,3556.33,4394.74,3965.4,5371.484211,4435.52,6411.44444
extenderContig134||sp|P69090.2|,Nontoxin,Nontoxin,2424.31,3660.39,3122.13,2699.79,2331.78,4587.47,3379.74,4307.6,4363.5,3615.45,2979.74,3043.53,2487.44,4754.54,3562.06,4094.36,2901.18,3478.28,2792.13,3399.232632,2877.884,3978.50889
extenderContig138||sp|D3TTC1.1|,Nontoxin,Nontoxin,1196.83,3037.98,2345.32,1687.73,2838.62,717.45,1312.56,3366.64,1281.82,8456.68,1989.35,1980.89,2508.11,1759.6,1203.59,1975.14,1351.29,845.11,3737.61,2294.332632,1970.356,2654.30667
extenderContig146||sp|D3TTC2.1|,Nontoxin,Nontoxin,2133.95,2756.93,3056.06,727.29,2076.13,188.73,8309.36,747.09,4907.56,2079.66,6260.26,12054.15,5922.4,1469.55,1340.26,3427.58,1410.28,85.71,1498.9,3181.676316,2451.124,3993.40111
extenderContig146||sp|P46782.4|,Nontoxin,Nontoxin,3411.22,2746.19,3322.76,3232.55,2865.26,3342.57,3085.39,3063,3492.56,3021.92,2470,2549.6,2673.16,2804.09,3631.63,2999.97,3479.29,3641.22,2871.4,3089.672632,3159.849,3011.69889
extenderContig150||sp|P23358.1|,Nontoxin,Nontoxin,2751.1,1203.11,2774.94,431.21,1416.59,1155.99,881.58,1425.76,968.47,1330.19,1349.74,1173.88,1198.49,547.9,1937.01,1656.74,1012.24,1868.01,1491.51,1398.655789,1623.084,1149.29111
extenderContig151||sp|Q56K10.3|,Nontoxin,Nontoxin,0,0,0,0,0,0,0,4006.75,605.15,630.58,0,0,0,0,0,4289.82,0.62,0,0,501.7326316,0.062,1059.14444
extenderContig167||sp|P79781.3|,Nontoxin,Nontoxin,3251.92,2797.6,3195.47,3408.85,3554.81,4474.96,4455.22,3808.4,4292.84,3787.74,4057.5,3458.24,4591.07,6925.49,5952.24,4506.37,3242.26,7070.19,4069.55,4257.932632,4239.386,4278.54
extenderContig169||sp|Q98953.1|,Nontoxin,Nontoxin,0,4355.68,0.89,8.91,0,0,0,2369.9,5059.29,0,1285.69,5387.03,0,0,4824.74,0,0,0,0,1225.901579,612.023,1907.98889
extenderContig171||sp|D8VNS0.1|,Nontoxin,Nontoxin,8492.09,273.49,26305.87,1217.42,29499.69,4751.98,13050.35,163.08,8081.28,419.23,11290.46,12107.67,13732.15,3516.54,24287.74,7118,8642.89,8037.04,24943.78,10838.46053,15644.913,5497.95778
extenderContig179||sp|P09102.3|,Nontoxin,Nontoxin,18488.07,5757.79,18020.6,7339.77,19084.93,2218.45,11984.78,13728.45,13203.88,19810.26,19954.05,13505.76,15043.37,1412.91,6301.16,11155.28,13232.25,5459.55,10957.18,11929.39421,13388.093,10308.6178
extenderContig191||sp|P47836.2|,Nontoxin,Nontoxin,4862.26,1664.29,2132.33,4102.57,239.98,1.25,94.41,4532.27,25.12,2783.94,141.98,2793.65,2373.32,99.58,3523.46,3446.06,1980.42,3961.16,3074.14,2201.694211,2639.162,1715.61889
extenderContig193||sp|P23358.1|,Nontoxin,Nontoxin,363.15,724.54,535.54,2618.33,897.43,1056.2,1272.9,862.74,1122.73,767.45,810.14,884.52,1170.15,690.17,810.74,442.42,1811.14,780.84,724.66,965.5678947,1052.212,869.296667
extenderContig196||sp|Q98953.1|,Nontoxin,Nontoxin,0,142.84,0,7690.3,0,0,0,0,0,0,152.83,3.25,0,0,0,0,0,0,0,420.4852632,784.313,16.2322222
extenderContig199||sp|P62829.1|,Nontoxin,Nontoxin,5282.86,10877.63,5930.18,6024.34,6150.72,9604.58,10953.54,11654.01,10996.22,11388.83,7992.84,10071.84,7080.92,11107.6,8244.32,12873.01,6090.3,7778.13,5498.27,8715.796842,6607.288,11058.5844
extenderContig20||sp|A8QL49.1|,Nontoxin,Nontoxin,236.22,423.75,762.48,78.98,348.09,119.87,119.74,237.92,435.87,617.98,272.06,231.36,509.46,344.28,279.14,5597.49,279.02,42.62,172.77,584.6894737,298.084,903.14
extenderContig201||sp|A9CB60.1|,Nontoxin,Nontoxin,3434.66,2056.21,3491.28,4026.55,3250.85,3367.25,1149.31,3055.01,3617.76,3029.5,3201.81,2989.52,3935.5,2404.84,3325.68,3774.35,2838.74,6079.42,2954.89,3262.27,3653.938,2827.08333
