Spec_ID,SVL,Avg_CTL,Avg_3FTx,Avg_SVMP,Avg_CRISP,Avg_TOXIN,Avg_other,Sex
JLS257,20,2.618809,19.535557,10.496265,5.500145,41.25,3.100684,F
JLS178,29.2,2.114979,9.200176,12.010108,13.748494,40.71,3.640647,F
JLS187,29.5,4.425767,5.343324,16.386216,6.821113,37.28,4.29972,F
JLS216,29.5,1.964458,4.178857,18.471364,14.108757,41.2,2.475192,F
JLS181,29.7,2.450497,13.696106,18.358441,8.498057,45.96,2.957143,M
JLS256,31.3,3.138428,20.353148,7.364496,7.338986,40.37,2.179152,M
JLS242,31.6,8.510815,14.023165,10.712822,6.903886,42.49,2.338607,M
JLS228,32.3,0.664642,6.379931,12.084891,12.89414,34.43,2.410375,M
JLS269,33.2,2.306721,9.701267,15.387988,17.171027,46.64,17.171027,F
JLS247,35,1.866011,8.189063,14.127996,10.682826,37.2,2.332969,M
JLS249,36.8,5.153112,9.139979,13.937433,10.198257,41.38,2.953421,M
JLS254,38.7,2.872548,28.893901,3.563197,4.516901,41.23,1.382684,M
JLS202,43.8,5.547938,7.554158,10.944236,6.202181,32.66,2.406699,F
JLS223,45.5,10.611446,21.547113,3.250098,2.964494,41.36,2.966104,M
JLS224,45.5,1.635465,18.105785,13.24134,6.58714,42.02,2.449897,M
JLS248,47.5,0.867778,5.991469,16.383978,11.402828,37.1,2.451897,F
JLS253,57.2,0.38461,4.165468,15.191694,17.522194,39.36,2.092752,F
JLS255,70.5,0.673912,7.372964,14.276517,12.835082,37.4,2.240785,F
JLS260,72.1,0.767897,4.783992,6.532404,10.165404,23.48,1.227569,F
