gene_id	length	effective_length	TPM_average	COUNT_Tsirt_JLS178	COUNT_Tsirt_JLS181	COUNT_Tsirt_JLS187	COUNT_Tsirt_JLS202	COUNT_Tsirt_JLS216	COUNT_Tsirt_JLS223	COUNT_Tsirt_JLS224	COUNT_Tsirt_JLS228	COUNT_Tsirt_JLS242	COUNT_Tsirt_JLS247	COUNT_Tsirt_JLS248	COUNT_Tsirt_JLS249	COUNT_Tsirt_JLS253	COUNT_Tsirt_JLS254	COUNT_Tsirt_JLS255	COUNT_Tsirt_JLS256	COUNT_Tsirt_JLS257	COUNT_Tsirt_JLS260	COUNT_Tsirt_JLS269	TPM_Tsirt_JLS178	TPM_Tsirt_JLS181	TPM_Tsirt_JLS187	TPM_Tsirt_JLS202	TPM_Tsirt_JLS216	TPM_Tsirt_JLS223	TPM_Tsirt_JLS224	TPM_Tsirt_JLS228	TPM_Tsirt_JLS242	TPM_Tsirt_JLS247	TPM_Tsirt_JLS248	TPM_Tsirt_JLS249	TPM_Tsirt_JLS253	TPM_Tsirt_JLS254	TPM_Tsirt_JLS255	TPM_Tsirt_JLS256	TPM_Tsirt_JLS257	TPM_Tsirt_JLS260	TPM_Tsirt_JLS269	TPM10K_Tsirt_JLS178	TPM10K_Tsirt_JLS181	TPM10K_Tsirt_JLS187	TPM10K_Tsirt_JLS202	TPM10K_Tsirt_JLS216	TPM10K_Tsirt_JLS223	TPM10K_Tsirt_JLS224	TPM10K_Tsirt_JLS228	TPM10K_Tsirt_JLS242	TPM10K_Tsirt_JLS247	TPM10K_Tsirt_JLS248	TPM10K_Tsirt_JLS249	TPM10K_Tsirt_JLS253	TPM10K_Tsirt_JLS254	TPM10K_Tsirt_JLS255	TPM10K_Tsirt_JLS256	TPM10K_Tsirt_JLS257	TPM10K_Tsirt_JLS260	TPM10K_Tsirt_JLS269	TPM10K_average
extenderContig104||sp|Q90835.1|	1389	1230.35	8521.557368421052	59664	7201	63449	58615	43145	30103	59814	24194	62202	51507	40515	43251	35305	16515	37004	69227	68641	30960	38375	9056.12	8064.8	10156.51	9480.7	9888.58	5220.15	14052.44	8861.87	9396.07	10222.8	8407.05	8710.32	7019.15	4222.59	7718.25	8183.35	9716.48	5658.99	7873.37	2458.7365800000002	2189.5932	2757.4924650000003	2574.0100500000003	2684.7494699999997	1417.2707249999999	3815.2374600000003	2405.997705	2551.0330050000002	2775.4901999999997	2282.5140749999996	2364.85188	1905.699225	1146.4331849999999	2095.504875	2221.779525	2638.02432	1536.415785	2137.619955	2313.602825526316
extenderContig104||Toxin1435_3FTx	273	114.49	5231.385789473684	0	0	11936.11	10.46	2799.68	0	1	3	14276.44	1	3.07	15663.46	0	0	0	1	3.82	1.03	8514.5	0	0	21138.32	17.08	6149.72	0	2.11	11.38	22983.04	1.93	6.43	31699.6	0	0	0	1.19	5.89	1.95	17377.69	0	0	5739.0538799999995	4.63722	1669.6489800000002	0	0.572865	3.08967	6239.89536	0.523995	1.745745	8606.4414	0	0	0	0.323085	1.5991349999999998	0.529425	4718.042834999999	1420.321241842105
extenderContig107||sp|O57535.1|	462	303.35	2433.524736842105	3431	415	4192	2305	2859	3276	2678	1888	4548	3241	2833	3080	3242	2414	3908	5877	4316	3411	2647	2112.22	1825.7	2746.35	1482.01	2560.02	2252.38	2403.97	2771.62	2779.08	2523.37	2335.92	2462.02	2487.38	2422.2	3173.4	2762.5	2488.09	2500.38	2148.36	573.46773	495.67755	745.634025	402.36571499999997	695.04543	611.52117	652.677855	752.49483	754.52022	685.094955	634.20228	668.4384299999999	675.32367	657.6272999999999	861.5781	750.01875	675.516435	678.85317	583.2797400000001	660.7019660526315
extenderContig109||sp|P42677.3|	255	97.07	4477.20052631579	2311	332	1842	2537	1645	1994	1967	839	2143	2098	1691	1555	2790	1559	2724	2732	2848	1984	1864	4445.89	4204.39	3868.55	4832.46	4179.15	4036.72	4764.65	3730.38	4063.62	4683.8	4128.91	3669.04	5900.31	4490.93	6228.76	3808.3	5194.04	4408.19	4428.72	1207.0591350000002	1141.4918850000001	1050.311325	1312.01289	1134.639225	1095.96948	1293.602475	1012.7981700000001	1103.2728299999999	1271.6517	1120.999065	996.14436	1601.9341650000001	1219.287495	1691.1083400000002	1033.95345	1410.18186	1196.8235849999999	1202.39748	1215.5599428947369
extenderContig112||Toxin10763_CRISP	720	561.35	20337.024210526317	0	0	129196.61	27.28	138483.04	37424.09	130763.94	67177.25	81079.37	109665.91	8.32	0	10.35	32942.39	0	100803.03	66867.04	4.62	0	0	0	45487.72	9.6	68545.92	14097.67	65756.73	53679.83	26816.36	47082.9	3.75	0	4.42	18222.71	0	25915.06	20778.95	1.84	0	0	0	12349.91598	2.6064	18610.217279999997	3827.5174049999996	17852.952194999998	14574.073845000003	7280.641740000001	12783.00735	1.018125	0	1.20003	4947.465765	0	7035.93879	5641.484925	0.49956000000000006	0	5521.502073157894
extenderContig118||sp|P62263.3|	456	297.35	4520.783157894737	5539	1012	5086	7206	4355	6258	7294	2611	6597	5005	5247	3843	5530	6181	8369	9859	5904	7255	4828	3478.77	4538.07	3400.11	4724.09	3974.36	4386.81	6669.4	3909.1	4112.18	3971.93	4411.26	3132.12	4322.82	6321.67	6925.53	4725.28	3472.6	5423.85	3994.93	944.4860550000001	1232.0860049999999	923.129865	1282.590435	1079.03874	1191.018915	1810.7421	1061.32065	1116.4568700000002	1078.378995	1197.65709	850.3705799999999	1173.64563	1716.333405	1880.281395	1282.9135199999998	942.8109	1472.5752750000001	1084.6234949999998	1227.392627368421
extenderContig123||sp|P49207.3|	354	195.35	4674.988947368421	2822	377	3616	2953	1763	4221	6154	2117	4335	3697	3710	3204	4643	3681	6633	9028	4424	7010	2140	2697.8	2517.25	3703.39	2905.85	2387.03	4433.53	8228.64	4784.41	4105.44	4364.68	4680.56	3915.66	5341.51	5602.23	8124.73	6496.34	3972.26	7914.32	2649.16	732.4527	683.433375	1005.470385	788.938275	648.078645	1203.703395	2234.0757599999997	1298.967315	1114.62696	1185.01062	1270.77204	1063.10169	1450.219965	1521.005445	2205.864195	1763.7563100000002	1078.46859	2148.73788	719.24694	1269.2594992105264
extenderContig131||sp|A6QLG5.1|	585	426.35	5371.484210526316	9434	1796	8273	9643	6329	12444	12923	5628	13583	10383	7136	9333	9194	10730	11240	19827	8684	8390	6802	4132.29	5690.32	3842.96	4445.23	4089.74	6140.23	8441.13	5905.22	5911.42	5824.96	4219.2	5351.9	5113.96	7756.67	6595.35	6681.15	3556.33	4394.74	3965.4	1121.916735	1544.9218799999999	1043.36364	1206.879945	1110.36441	1667.072445	2291.766795	1603.2672300000002	1604.95053	1581.47664	1145.5128	1453.0408499999999	1388.44014	2105.9359050000003	1790.637525	1813.932225	965.543595	1193.17191	1076.6061	1458.3579631578948
extenderContig134||sp|P69090.2|	567	408.35	3399.2326315789473	5301.03	1108	6435.03	5614.05	3461.52	8913	4968	3934	9604	6181	4831.01	5088	4292	6308	5824.14	11647	6783.98	6363.02	4591.99	2424.31	3660.39	3122.13	2699.79	2331.78	4587.47	3379.74	4307.6	4363.5	3615.45	2979.74	3043.53	2487.44	4754.54	3562.06	4094.36	2901.18	3478.28	2792.13	658.200165	993.795885	847.6582950000001	732.992985	633.07827	1245.4981050000001	917.5994099999999	1169.5134000000003	1184.69025	981.594675	808.99941	826.318395	675.33996	1290.85761	967.09929	1111.6187400000001	787.6703699999999	944.3530200000001	758.063295	922.8916594736843
extenderContig138||sp|D3TTC1.1|	1878	1719.35	2294.3326315789473	11018.9	3779.23	20491.9	14554.06	17246.24	5769.33	7762.74	12830.12	11855.36	59355.22	13371.51	13717.47	17545.6	9587.22	8032.53	23306.14	13345.12	6454.33	25397.65	1196.83	3037.98	2345.32	1687.73	2838.62	717.45	1312.56	3366.64	1281.82	8456.68	1989.35	1980.89	2508.11	1759.6	1203.59	1975.14	1351.29	845.11	3737.61	324.93934499999995	824.8115700000001	636.7543800000001	458.218695	770.68533	194.78767500000004	356.36003999999997	914.0427599999999	348.01412999999997	2295.98862	540.108525	537.811635	680.951865	477.7314	326.774685	536.2505100000001	366.87523500000003	229.447365	1014.761115	622.9113094736842
extenderContig143||Toxin28982_SVMPIII	1845	1686.35	1831.0242105263158	455.67	1769.38	49886.41	26872.65	54112.71	16674.18	8.77	6173.76	4503.69	15318.37	84.76	70.6	41570.2	46.13	14.03	205.17	130.17	19383.47	86.58	50.46	1449.96	5821.52	3176.91	9079.29	2113.89	1.51	1651.61	496.47	2224.86	12.86	10.39	6057.26	8.63	2.14	17.73	13.44	2587.54	12.99	13.69989	393.66414	1580.54268	862.531065	2465.027235	573.9211349999999	0.40996499999999997	448.41211499999997	134.791605	604.04949	3.49149	2.820885	1644.54609	2.343045	0.58101	4.813695	3.6489599999999998	702.51711	3.526785	497.12307315789474
extenderContig146||sp|D3TTC2.1|	1854	1695.35	3181.676315789474	19372.51	3382.1	26328.36	6184.64	12439.18	1496.59	48467.01	2807.51	44756	14394.45	41494.19	82314.64	40858.99	7896	8821.01	39882.56	13733.11	645.51	10043.93	2133.95	2756.93	3056.06	727.29	2076.13	188.73	8309.36	747.09	4907.56	2079.66	6260.26	12054.15	5922.4	1469.55	1340.26	3427.58	1410.28	85.71	1498.9	579.3674249999999	748.506495	829.72029	197.45923499999998	563.669295	51.24019499999999	2255.9912400000003	202.834935	1332.40254	564.6276899999999	1699.6605900000002	3272.701725	1607.9316	398.982825	363.88059	930.5879699999999	382.89101999999997	23.270265	406.95135000000005	863.8251197368421
